sample-id	Cryoprotectant	PMA	Rep
C1	Control	Total	1
C2	Control	Total	2
C3	Control	Total	3
C4	Control	Total	4
C5	Control	Total	5
C6	Control	Total	6
Base_T1	Fresh	Total	1
Base_T2	Fresh	Total	2
Base_T3	Fresh	Total	3
Base_T4	Fresh	Total	4
Base_T5	Fresh	Total	5
Base_T6	Fresh	Total	6
MT1	Malto_Treh	Total	1
MT2	Malto_Treh	Total	2
MT3	Malto_Treh	Total	3
MT4	Malto_Treh	Total	4
MT5	Malto_Treh	Total	5
MT6	Malto_Treh	Total	6
D1	Maltodextrin	Total	1
D2	Maltodextrin	Total	2
D3	Maltodextrin	Total	3
D4	Maltodextrin	Total	4
D5	Maltodextrin	Total	5
D6	Maltodextrin	Total	6
M1	Mannitol	Total	1
M2	Mannitol	Total	2
M3	Mannitol	Total	3
M4	Mannitol	Total	4
M5	Mannitol	Total	5
M6	Mannitol	Total	6
T1	Trehalose	Total	1
T2	Trehalose	Total	2
T3	Trehalose	Total	3
T4	Trehalose	Total	4
T5	Trehalose	Total	5
T6	Trehalose	Total	6
LC1	Control	Viable	1
LC2	Control	Viable	2
LC3	Control	Viable	3
LC4	Control	Viable	4
LC5	Control	Viable	5
LC6	Control	Viable	6
Base_L1	Fresh	Viable	1
Base_L2	Fresh	Viable	2
Base_L3	Fresh	Viable	3
Base_L4	Fresh	Viable	4
Base_L5	Fresh	Viable	5
Base_L6	Fresh	Viable	6
LMT1	Malto_Treh	Viable	1
LMT2	Malto_Treh	Viable	2
LMT3	Malto_Treh	Viable	3
LMT4	Malto_Treh	Viable	4
LMT5	Malto_Treh	Viable	5
LMT6	Malto_Treh	Viable	6
LD1	Maltodextrin	Viable	1
LD2	Maltodextrin	Viable	2
LD3	Maltodextrin	Viable	3
LD4	Maltodextrin	Viable	4
LD5	Maltodextrin	Viable	5
LD6	Maltodextrin	Viable	6
LM1	Mannitol	Viable	1
LM2	Mannitol	Viable	2
LM3	Mannitol	Viable	3
LM4	Mannitol	Viable	4
LM5	Mannitol	Viable	5
LM6	Mannitol	Viable	6
LT1	Trehalose	Viable	1
LT2	Trehalose	Viable	2
LT3	Trehalose	Viable	3
LT4	Trehalose	Viable	4
LT5	Trehalose	Viable	5
LT6	Trehalose	Viable	6
